,text,embedding
0,"The name of the character is Emily.The character description is: A young woman in her early 20s, Emily is an aspiring actress and Alice's daughter. She has a bubbly personality and a quick wit, but struggles with self-doubt and insecurity. She's also in a relationship with George.The character loves to act in Play.The character lives in England","[-0.01606907 -0.0101967  -0.01507115 ...  0.00043459 -0.01008155
 -0.0297329 ]"
1,"The name of the character is Jack.The character description is: A middle-aged man in his 40s, Jack is a successful businessman and Sarah's boss. He has a no-nonsense attitude, but is fiercely loyal to his friends and family. He's married to Alice.The character loves to act in Play.The character lives in England","[ 0.00133268 -0.02162335 -0.00530458 ... -0.00353094 -0.01185038
 -0.01569162]"
2,"The name of the character is Alice.The character description is: A woman in her late 30s, Alice is a warm and nurturing mother of two, including Emily. She's kind-hearted and empathetic, but can be overly protective of her children and prone to worrying. She's married to Jack.The character loves to act in Play.The character lives in England","[ 0.00483351 -0.00739013 -0.0186835  ... -0.00276317 -0.00643059
 -0.02141577]"
3,"The name of the character is Tom.The character description is: A man in his 50s, Tom is a retired soldier and John's son. He has a no-nonsense approach to life, but is haunted by his experiences in combat and struggles with PTSD. He's also in a relationship with Rachel.The character loves to act in Play.The character lives in England","[ 0.01400075 -0.01618353 -0.00869235 ...  0.01261876 -0.01761719
 -0.0155894 ]"
4,"The name of the character is Sarah.The character description is: A woman in her mid-20s, Sarah is a free-spirited artist and Jack's employee. She's creative, unconventional, and passionate about her work. However, she can also be flighty and impulsive at times.The character loves to act in Play.The character lives in England","[-0.01699379 -0.02245287 -0.01391101 ...  0.01330731 -0.01461748
 -0.01780302]"
5,"The name of the character is George.The character description is: A man in his early 30s, George is a charming and charismatic businessman who is in a relationship with Emily. He's ambitious, confident, and always looking for the next big opportunity. However, he's also prone to bending the rules to get what he wants.The character loves to act in Play.The character lives in England","[-0.0193465  -0.01008308 -0.00798189 ... -0.01293236 -0.00634909
 -0.01877404]"
6,"The name of the character is Rachel.The character description is: A woman in her late 20s, Rachel is a shy and introverted librarian who is in a relationship with Tom. She's intelligent, thoughtful, and has a deep love of books. However, she struggles with social anxiety and often feels like an outsider.The character loves to act in Play.The character lives in England","[-0.00608356 -0.00578432  0.00232391 ...  0.01808196 -0.03825226
 -0.03033185]"
7,"The name of the character is John.The character description is: A man in his 60s, John is a retired professor and Tom's father. He has a dry wit and a love of intellectual debate, but can also be stubborn and set in his ways.The character loves to act in Play.The character lives in England","[ 0.01742861 -0.0153865  -0.0305675  ... -0.00489658 -0.01493698
 -0.01561768]"
8,"The name of the character is Maria.The character description is: A middle-aged Latina woman in her 40s, Maria is a hard-working single mother who owns a small family-run diner in a small Texas town. She's fiercely protective of her teenage daughter, Sofia, and is always trying to balance work and family.The character loves to act in Movie.The character lives in Texas","[-0.01213056 -0.01026331 -0.01443832 ...  0.00547026 -0.03576706
 -0.01278146]"
9,"The name of the character is Caleb.The character description is: A young African American man in his early 20s, Caleb is a talented musician who dreams of making it big in the music industry. He's charismatic, confident, and has a way with words. However, he's also struggling with addiction and is constantly at odds with his strict religious family.The character loves to act in Movie.The character lives in Texas","[-0.00118441 -0.01756212  0.00582083 ... -0.00044395 -0.02058342
 -0.01576219]"
10,"The name of the character is Tyler.The character description is: A white man in his mid-30s, Tyler is a tough-as-nails sheriff who takes his job very seriously. He's stoic, no-nonsense, and has a strong sense of justice. However, he's also struggling to come to terms with a recent tragedy in his personal life.The character loves to act in Movie.The character lives in Texas","[ 0.00647834 -0.03449094 -0.02116665 ...  0.00853244 -0.01617488
 -0.01368545]"
11,"The name of the character is Sonya.The character description is: A white woman in her late 20s, Sonya is a free-spirited journalist who's always on the hunt for the next big story. She's passionate, tenacious, and unafraid to speak her mind. However, she's also struggling to balance her career with her personal life, and has a tendency to push people away.The character loves to act in Movie.The character lives in Texas","[ 0.00425854 -0.02109114 -0.0315977  ...  0.00113859 -0.01403042
 -0.02236545]"
12,"The name of the character is Manuel.The character description is: A middle-aged Hispanic man in his 50s, Manuel is a proud and hard-working farmer who's struggling to keep his family's farm afloat. He's fiercely loyal to his family and his community, and will do whatever it takes to protect them.The character loves to act in Movie.The character lives in Texas","[-0.01290633 -0.01308403 -0.01051066 ...  0.01018817 -0.01674335
 -0.00908906]"
13,"The name of the character is Will.The character description is: A white man in his early 40s, Will is a successful businessman who's come back to his hometown after many years away. He's confident, charming, and knows how to get what he wants. However, he's also hiding a dark secret from his past that threatens to destroy everything he's worked for.The character loves to act in Movie.The character lives in Texas","[-0.00577658 -0.03572651 -0.00860229 ... -0.01040047 -0.0161507
 -0.0241997 ]"
14,"The name of the character is Mia.The character description is: A young Australian woman in her mid-20s, Mia is a driven and ambitious lawyer who's just landed her dream job at a top law firm in Sydney. She's the younger sister of Max, a former soldier who's struggling with PTSD, and is trying to help him navigate his challenges while also balancing her demanding career.The character loves to act in Limited Series.The character lives in Australia","[-0.01086934 -0.01276275  0.00345079 ... -0.00670125 -0.0325434
 -0.02737368]"
15,"The name of the character is Lucas.The character description is: A middle-aged Australian man in his 40s, Lucas is a successful businessman and the CEO of a major tech company. He's charming, charismatic, and has a way with people. He's been married to Ava, a successful fashion designer, for many years, but their marriage is on the rocks due to his infidelity.The character loves to act in Limited Series.The character lives in Australia","[ 0.00011266 -0.01253043 -0.01143264 ...  0.00624897 -0.01582381
 -0.02487898]"
