,location,list_price,bedrooms,bathrooms,square_feet,description,neighborhood_description,description_vector
0,Downtown Loft,300000.0,1.0,1.0,800.0,"Live in the heart of the city in this modern downtown loft. This 1-bedroom, 1-bathroom unit features floor-to-ceiling windows, a sleek kitchen with stainless steel appliances, and a spacious living area perfect for entertaining. Enjoy urban living at its finest with easy access to restaurants, shops, and nightlife.","Located in the bustling downtown area, this neighborhood offers a vibrant lifestyle with trendy cafes, art galleries, and cultural events. Walk to nearby parks or catch a show at the local theater. With public transportation options nearby, commuting is a breeze.","[ 0.01449617  0.01697866  0.0031626  ... -0.00130556 -0.0069844
 -0.0217121 ]"
1,Suburban Family Home,600000.0,4.0,3.0,2500.0,"Welcome to this spacious suburban family home with 4 bedrooms, 3 bathrooms, and a large backyard. The open-concept kitchen features granite countertops and a breakfast nook, while the master suite offers a luxurious spa-like bathroom. Enjoy family BBQs in the landscaped backyard with plenty of room for kids to play.","This family-friendly neighborhood boasts top-rated schools, parks, and community events. Enjoy a sense of community with friendly neighbors and easy access to shopping centers and restaurants. Experience suburban living at its best.","[ 0.01953316  0.03836686 -0.00810212 ... -0.01891142 -0.01597108
 -0.02810807]"
2,Luxury Estate,2000000.0,5.0,6.0,8000.0,"Indulge in luxury living in this exquisite 5-bedroom, 6-bathroom estate. This grand home features a gourmet kitchen, home theater, wine cellar, and outdoor pool with a waterfall. The master suite offers a private balcony with stunning views of the surrounding countryside.","Located in an exclusive gated community, this neighborhood offers privacy and luxury living. Enjoy access to golf courses, country clubs, and hiking trails. Experience the epitome of elegance and sophistication in this luxurious estate.","[ 0.01218168  0.01489165 -0.00569948 ... -0.01606246  0.00342034
 -0.03170395]"
3,Waterfront Retreat,800000.0,3.0,2.5,3000.0,"Escape to this peaceful waterfront retreat with breathtaking views of the lake. This 3-bedroom, 2.5-bathroom home features a spacious deck overlooking the water, a cozy fireplace, and a gourmet kitchen with granite countertops. Enjoy boating, fishing, and relaxation in your own backyard oasis.","This waterfront community offers a serene and tranquil setting with access to boating, fishing, and water sports. Enjoy the beauty of nature with walking trails, wildlife sightings, and stunning sunsets. Experience waterfront living at its finest.","[ 0.00377173  0.00801534  0.00998149 ... -0.00286403 -0.01372374
 -0.02599252]"
4,Rural Farmhouse,400000.0,3.0,2.0,2000.0,"Embrace country living in this charming rural farmhouse. This 3-bedroom, 2-bathroom home features a wrap-around porch, wood-burning fireplace, and a large barn on the property. Enjoy the peace and quiet of the countryside with plenty of space for gardening and outdoor activities.","Located in a picturesque rural setting, this neighborhood offers a quiet and serene lifestyle. Enjoy fresh air, open spaces, and starry nights away from the hustle and bustle of the city. Experience the beauty of rural living in this farmhouse retreat.","[-0.00944992  0.02028182 -0.00829827 ...  0.00607495 -0.03242532
 -0.02478605]"
5,Mountain Cabin,250000.0,2.0,1.0,1500.0,"Unwind in this cozy mountain cabin surrounded by nature. This 2-bedroom, 1-bathroom retreat features a stone fireplace, wood beams, and a spacious deck with mountain views. Enjoy hiking, skiing, and outdoor adventures right outside your door.","Located in the scenic mountains, this neighborhood offers outdoor enthusiasts a paradise for hiking, skiing, and wildlife watching. Escape the city and embrace nature with scenic views, fresh mountain air, and peaceful surroundings. Experience mountain living at its best in this charming cabin.","[ 0.00879323  0.00649486  0.00517135 ...  0.00617528 -0.01896808
 -0.02706406]"
6,Historic Brownstone,700000.0,4.0,2.5,2800.0,"Step back in time in this historic brownstone with modern updates. This 4-bedroom, 2.5-bathroom home features original hardwood floors, exposed brick walls, and a rooftop deck with city views. The spacious layout and elegant decor make this a truly unique property.","Located in a historic district, this neighborhood offers charm and character with tree-lined streets and historic architecture. Walk to local cafes, museums, and art galleries or explore nearby parks and cultural landmarks. Experience the rich history and culture of the city in this historic brownstone.","[-0.01216621  0.01120281  0.00220346 ... -0.00889845 -0.03108925
 -0.01700275]"
7,Beachfront Condo,500000.0,2.0,2.0,1200.0,"Live the coastal lifestyle in this beachfront condo with panoramic ocean views. This 2-bedroom, 2-bathroom unit features a gourmet kitchen, spa-like bathrooms, and a private balcony overlooking the beach. Walk to the sand and surf or relax by the pool in this seaside retreat.","Located on the beachfront, this neighborhood offers a relaxed and laid-back lifestyle with sandy beaches, waterfront dining, and water sports. Enjoy beachside living with sunsets over the ocean, beach bonfires, and coastal breezes. Experience the beauty of coastal living in this beachfront condo.","[ 0.00993581  0.01572621  0.02630686 ... -0.006909   -0.01863457
 -0.0332685 ]"
8,Golf Course Villa,900000.0,3.0,3.5,3500.0,"Live in luxury in this elegant golf course villa with stunning fairway views. This 3-bedroom, 3.5-bathroom home features high ceilings, a gourmet kitchen, and a private pool and spa. Enjoy golfing, dining, and resort-style living in this exclusive community.","Located on a prestigious golf course, this neighborhood offers upscale living with access to golf, tennis, and fine dining. Enjoy a country club lifestyle with social events, fitness classes, and spa services. Experience luxury living on the fairways in this golf course villa.","[ 0.0015663   0.0082578   0.00753917 ... -0.00341026  0.00195012
 -0.02263056]"
9,City Penthouse,1500000.0,3.0,3.0,4000.0,"Experience luxury living in this stunning city penthouse with panoramic skyline views. This 3-bedroom, 3-bathroom unit features a gourmet kitchen, designer finishes, and a private rooftop terrace. Entertain in style or relax in the spa-like master suite with city views.","Located in the heart of the city, this neighborhood offers upscale dining, shopping, and entertainment options. Walk to theaters, museums, and galleries or enjoy a night out in the vibrant nightlife scene. Experience city living at its finest in this luxurious penthouse.","[ 0.01420907  0.01115689  0.0091049  ... -0.00684642 -0.02021017
 -0.04684733]"
